         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.4603420177
           0.3490658504            1.9038628437
           0.5235987756            4.2102909553
           0.6981317008            7.1286784504
           0.8726646260           10.3231503831
           1.0471975512           13.4330313358
           1.2217304764           16.1380707123
           1.3962634016           18.1597056033
           1.5707963268           19.2571619186
           1.7453292520           19.1614650743
           1.9198621772           12.4417449838
           2.0943951024            8.5600327101
           2.2689280276            5.1564370883
           2.4434609528            2.5359151776
           2.6179938780            0.8408845926
           2.7925268032            0.0732724500
           2.9670597284            0.0631695266
           3.1415926536            0.0134766906
           3.3161255788            0.2082205172
           3.4906585040            1.2409477590
           3.6651914292            3.2103325773
           3.8397243544            6.0831387692
           4.0142572796            9.6656779595
           4.1887902048           13.6013757612
           4.3633231300           17.3391502561
           4.5378560552           20.1855045370
           4.7123889804           17.6541971115
           4.8869219056           15.4093632267
           5.0614548308           12.5533418551
           5.2359877560            9.3839303187
           5.4105206812            6.2324168147
           5.5850536064            3.4605715943
           5.7595865316            1.3862009132
           5.9341194568            0.2256249557
           6.1086523820            0.0336484061
           6.2831853072            0.0000131274
