         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.3668348402
           0.3490658504            1.6142045719
           0.5235987756            3.7987911115
           0.6981317008            6.8577399925
           0.8726646260           10.5594689999
           1.0471975512           14.5008457577
           1.2217304764           18.0894130956
           1.3962634016           20.6403067499
           1.5707963268           17.2109838550
           1.7453292520           14.8084808271
           1.9198621772           11.8538062985
           2.0943951024            8.6522402651
           2.2689280276            5.5544077313
           2.4434609528            2.9162398361
           2.6179938780            1.0360537501
           2.7925268032            0.1019245299
           2.9670597284            0.0919397539
           3.1415926536            0.0778066882
           3.3161255788            0.7676357721
           3.4906585040            2.4278207229
           3.6651914292            4.9053132778
           3.8397243544            7.9283558227
           4.0142572796           11.1494923320
           4.1887902048           14.1953688491
           4.3633231300           16.7513480968
           4.5378560552           18.5514879432
           4.7123889804           19.3704758669
           4.8869219056           15.5390655452
           5.0614548308           11.6426951059
           5.2359877560            7.8428958024
           5.4105206812            4.5970165825
           5.5850536064            2.1698049754
           5.7595865316            0.6724771552
           5.9341194568            0.0762392648
           6.1086523820            0.1239997327
           6.2831853072            0.0000026255
