         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6365498151
           0.3490658504            2.3862433072
           0.5235987756            4.8099209914
           0.6981317008            7.2945575314
           0.8726646260            9.1690174022
           1.0471975512            9.8996336263
           1.2217304764            9.2757360950
           1.3962634016            7.4765755601
           1.5707963268            5.0071117838
           1.7453292520            2.5338305307
           1.9198621772            0.7058288799
           2.0943951024            0.0012471124
           2.2689280276            0.5919635764
           2.4434609528            2.3231157886
           2.6179938780            4.7474629753
           2.7925268032            7.2386658905
           2.9670597284            9.1344211907
           3.1415926536            9.8979874380
           3.3161255788            9.3009829016
           3.4906585040            7.5158215320
           3.6651914292            5.0573402217
           3.8397243544            2.5943561790
           4.0142572796            0.7537048697
           4.1887902048            0.0049306887
           4.3633231300            0.5366574219
           4.5378560552            2.2236040929
           4.7123889804            4.6436638384
           4.8869219056            7.1757825434
           5.0614548308            9.1214590978
           5.2359877560            9.8987514585
           5.4105206812            9.2661477695
           5.5850536064            7.4122219331
           5.7595865316            4.8942914294
           5.9341194568            2.4221732727
           6.1086523820            0.6427486202
           6.2831853072            0.0000000000
