         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.7645613118
           0.3490658504            2.9246309337
           0.5235987756            6.0576451658
           0.6981317008            9.4032881292
           0.8726646260           11.9858085549
           1.0471975512           12.9357957942
           1.2217304764           11.9207197879
           1.3962634016            9.3164313429
           1.5707963268            5.9836612052
           1.7453292520            2.8800551972
           1.9198621772            0.7401074061
           2.0943951024            0.0003229365
           2.2689280276            0.8065351780
           2.4434609528            3.0162608788
           2.6179938780            6.1736712555
           2.7925268032            9.5163447786
           2.9670597284           12.0631741592
           3.1415926536           12.9318759229
           3.3161255788           11.8242694251
           3.4906585040            9.1910033382
           3.6651914292            5.9056733574
           3.8397243544            2.8749065919
           4.0142572796            0.7754991442
           4.1887902048            0.0010659529
           4.3633231300            0.6798863158
           4.5378560552            2.7090301364
           4.7123889804            5.7333014152
           4.8869219056            9.0879104607
           5.0614548308           11.8166528501
           5.2359877560           12.9344226577
           5.4105206812           11.9822667556
           5.5850536064            9.3375613658
           5.7595865316            5.9621872419
           5.9341194568            2.8626481331
           6.1086523820            0.7449987123
           6.2831853072            0.0000026255
