         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6792246899
           0.3490658504            2.7829248298
           0.5235987756            6.0349660979
           0.6981317008            9.8257783155
           0.8726646260           13.3410758288
           1.0471975512           15.7878815413
           1.2217304764           16.8163922303
           1.3962634016           16.4121755231
           1.5707963268           14.7522478712
           1.7453292520           12.3563637284
           1.9198621772            9.9573132329
           2.0943951024            8.1736352706
           2.2689280276            7.1234221998
           2.4434609528            6.9602631366
           2.6179938780            8.1878129698
           2.7925268032           10.7527110405
           2.9670597284           13.7202688968
           3.1415926536           15.9625035369
           3.3161255788           16.8588124315
           3.4906585040           16.3818536253
           3.6651914292           14.8432949553
           3.8397243544           12.6486947592
           4.0142572796           10.2100175942
           4.1887902048            7.8297709286
           4.3633231300            1.8664836023
           4.5378560552            0.2733092843
           4.7123889804            0.0825903491
           4.8869219056            1.0777256839
           5.0614548308            2.7704589566
           5.2359877560            4.5330515294
           5.4105206812            5.6268295195
           5.5850536064            5.5862104111
           5.7595865316            4.5133524041
           5.9341194568            3.0401424255
           6.1086523820            1.9927832730
           6.2831853072            2.1503946550
