         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6558341117
           0.3490658504            2.2446474744
           0.5235987756            4.1111888378
           0.6981317008            5.4938925851
           0.8726646260            5.8396971715
           1.0471975512            5.1118350967
           1.2217304764            3.8038924578
           1.3962634016            2.7289314253
           1.5707963268            2.7706558691
           1.7453292520            4.3011227485
           1.9198621772            6.8480886551
           2.0943951024            9.6230792244
           2.2689280276           12.0523072153
           2.4434609528           13.9651623961
           2.6179938780           15.4553514822
           2.7925268032           16.5563495969
           2.9670597284           17.0245549866
           3.1415926536           16.4121256386
           3.3161255788           14.4727791643
           3.4906585040           11.5914558507
           3.6651914292            8.7568926896
           3.8397243544            7.1636816145
           4.0142572796            7.3239342494
           4.1887902048            8.7502895575
           4.3633231300           10.7130449886
           4.5378560552           12.7634842385
           4.7123889804           14.6821470250
           4.8869219056           16.2601800853
           5.0614548308           17.0858052728
           5.2359877560           16.5776555282
           5.4105206812           14.4422656049
           5.5850536064           10.9213889044
           5.7595865316            6.8047442779
           5.9341194568            3.1309532146
           6.1086523820            0.7542824798
           6.2831853072            0.0001916615
