         Angle (radians)          Energy (kJ/mol)
           0.0000000000            0.0000000000
           0.1745329252            0.6181083042
           0.3490658504            2.3102639669
           0.5235987756            3.6331693295
           0.6981317008            5.7133292378
           0.8726646260            8.4259353049
           1.0471975512           11.6420177270
           1.2217304764           15.1710781106
           1.3962634016           18.6948796180
           1.5707963268           21.6908558849
           1.7453292520           18.9786095112
           1.9198621772           14.9422710489
           2.0943951024           10.9923246595
           2.2689280276            7.5841396639
           2.4434609528            4.8323926448
           2.6179938780            2.9879789943
           2.7925268032            2.0753946260
           2.9670597284            1.8913155800
           3.1415926536            2.0931430051
           3.3161255788            1.3318373132
           3.4906585040            0.3165591434
           3.6651914292            0.0152751582
           3.8397243544            0.7968917171
           4.0142572796            2.8667150323
           4.1887902048            6.2579182949
           4.3633231300           10.7118897686
           4.5378560552           15.5794956175
           4.7123889804           19.8242698880
           4.8869219056           22.1862194451
           5.0614548308           20.2785259971
           5.2359877560           16.7731581241
           5.4105206812           12.8133188513
           5.5850536064            8.8600223241
           5.7595865316            5.2821696510
           5.9341194568            2.4310159564
           6.1086523820            0.6113949010
           6.2831853072            0.0000210040
